original_name,german_translation,meaning
Sphere Space Bright Lighthouse,Sphärenraum Heller Leuchtturm,"Ein Name, der auf 'Heller Leuchtturm' im Sphärenraum hinweist."
Sphere Space Lasting Metropolises,Sphärenraum Dauerhafte Metropolen,"Ein Name, der auf 'Dauerhafte Metropolen' im Sphärenraum hinweist."
Sphere Space Steady Highway,Sphärenraum Stetige Autobahn,"Ein Name, der auf 'Stetige Autobahn' im Sphärenraum hinweist."
Sphere Space Free Field,Sphärenraum Freies Feld,"Ein Name, der auf 'Freies Feld' im Sphärenraum hinweist."
Sphere Space True Way,Sphärenraum Wahrer Weg,"Ein Name, der auf 'Wahrer Weg' im Sphärenraum hinweist."
Sphere Space Civil Path,Sphärenraum Ziviler Weg,"Ein Name, der auf 'Ziviler Weg' im Sphärenraum hinweist."
Sphere Space United District,Sphärenraum United District,"Ein Name, der auf 'United District' im Sphärenraum hinweist."
Sphere Space Universal Registry,Sphärenraum Universelles Register,"Ein Name, der auf 'Universelles Register' im Sphärenraum hinweist."
Sphere Space Silver Civics,Sphärenraum Silber Civics,"Ein Name, der auf 'Silber Civics' im Sphärenraum hinweist."
Sphere Space Steady Parks,Sphärenraum Stetige Parks,"Ein Name, der auf 'Stetige Parks' im Sphärenraum hinweist."
Sphere Space Campus Commons,Sphärenraum Campus Commons,"Ein Name, der auf 'Campus Commons' im Sphärenraum hinweist."
Sphere Space Safe Shipyards,Sphärenraum Sichere Werften,"Ein Name, der auf 'Sichere Werften' im Sphärenraum hinweist."
Sphere Space Eternal Exchange,Sphärenraum Ewiger Austausch,"Ein Name, der auf 'Ewiger Austausch' im Sphärenraum hinweist."
Sphere Space Shelters Foundation,Sphärenraum Shelters Foundation,"Ein Name, der auf 'Shelters Foundation' im Sphärenraum hinweist."
Sphere Space Public Greens,Sphärenraum Öffentliche Grüns,"Ein Name, der auf 'Öffentliche Grüns' im Sphärenraum hinweist."
Sphere Space Pure Worlds,Sphärenraum Reine Welten,"Ein Name, der auf 'Reine Welten' im Sphärenraum hinweist."
Sphere Space Universal Outposts,Sphärenraum Universelle Außenposten,"Ein Name, der auf 'Universelle Außenposten' im Sphärenraum hinweist."
Sphere Space Open Planets,Sphärenraum Offene Planeten,"Ein Name, der auf 'Offene Planeten' im Sphärenraum hinweist."
Sphere Space Solar Biospheres,Sphärenraum Solar Biosphären,"Ein Name, der auf 'Solar Biosphären' im Sphärenraum hinweist."
Sphere Space Calm Ways,Sphärenraum Ruhige Wege,"Ein Name, der auf 'Ruhige Wege' im Sphärenraum hinweist."
Sphere Space Terran Domes,Sphärenraum Terranische Kuppeln,"Ein Name, der auf 'Terranische Kuppeln' im Sphärenraum hinweist."
Sphere Space Next World,Sphärenraum Jenseits,"Ein Name, der auf 'Jenseits' im Sphärenraum hinweist."
Sphere Space Earthborn Endowments,Sphärenraum Erdengeborene Stiftungen,"Ein Name, der auf 'Erdengeborene Stiftungen' im Sphärenraum hinweist."
Sphere Space Terran Renaissance,Sphärenraum Terranische Renaissance,"Ein Name, der auf 'Terranische Renaissance' im Sphärenraum hinweist."
Sphere Space Living Institute,Sphärenraum Living Institute,"Ein Name, der auf 'Living Institute' im Sphärenraum hinweist."
Sphere Space Frontier Peaks,Sphärenraum Frontier Peaks,"Ein Name, der auf 'Frontier Peaks' im Sphärenraum hinweist."
Sphere Space Free Boulevards,Sphärenraum Kostenlose Boulevards,"Ein Name, der auf 'Kostenlose Boulevards' im Sphärenraum hinweist."
Sphere Space Free Initiative,Sphärenraum Kostenlose Initiative,"Ein Name, der auf 'Kostenlose Initiative' im Sphärenraum hinweist."
Sphere Space Foundation Foundation,Sphärenraum Foundation Foundation,"Ein Name, der auf 'Foundation Foundation' im Sphärenraum hinweist."
Sphere Space Ports Alliance,Sphärenraum Ports Alliance,"Ein Name, der auf 'Ports Alliance' im Sphärenraum hinweist."
Sphere Space Common Summits,Sphärenraum Gemeinsame Gipfel,"Ein Name, der auf 'Gemeinsame Gipfel' im Sphärenraum hinweist."
Sphere Space Pioneer Gateways,Sphärenraum Pioneer -Tore,"Ein Name, der auf 'Pioneer -Tore' im Sphärenraum hinweist."
Sphere Space Lasting Ledgers,Sphärenraum Dauerhafte Ledger,"Ein Name, der auf 'Dauerhafte Ledger' im Sphärenraum hinweist."
Sphere Space Civic Museums,Sphärenraum Bürgermuseen,"Ein Name, der auf 'Bürgermuseen' im Sphärenraum hinweist."
Sphere Space Pioneer Workshops,Sphärenraum Pionier -Workshops,"Ein Name, der auf 'Pionier -Workshops' im Sphärenraum hinweist."
Sphere Space Next Coast,Sphärenraum Nächste Küste,"Ein Name, der auf 'Nächste Küste' im Sphärenraum hinweist."
Sphere Space Public Bridge,Sphärenraum Öffentliche Brücke,"Ein Name, der auf 'Öffentliche Brücke' im Sphärenraum hinweist."
Sphere Space Golden Fields,Sphärenraum Goldene Felder,"Ein Name, der auf 'Goldene Felder' im Sphärenraum hinweist."
Sphere Space Pioneer Harborfront,Sphärenraum Pioneer Harborfront,"Ein Name, der auf 'Pioneer Harborfront' im Sphärenraum hinweist."
Sphere Space True Gardenworks,Sphärenraum Wahre Gartenwerke,"Ein Name, der auf 'Wahre Gartenwerke' im Sphärenraum hinweist."
Sphere Space Frontier Domus,Sphärenraum Grenzdomus,"Ein Name, der auf 'Grenzdomus' im Sphärenraum hinweist."
Sphere Space Stars Initiative,Sphärenraum Sterne Initiative,"Ein Name, der auf 'Sterne Initiative' im Sphärenraum hinweist."
Sphere Space Terran Enterprise,Sphärenraum Terraner Enterprise,"Ein Name, der auf 'Terraner Enterprise' im Sphärenraum hinweist."
Sphere Space Frontier Garden,Sphärenraum Grenzgarten,"Ein Name, der auf 'Grenzgarten' im Sphärenraum hinweist."
Sphere Space Living Planet,Sphärenraum Lebender Planet,"Ein Name, der auf 'Lebender Planet' im Sphärenraum hinweist."
Sphere Space Open Guild,Sphärenraum Offene Gilde,"Ein Name, der auf 'Offene Gilde' im Sphärenraum hinweist."
Sphere Space Prime Civic,Sphärenraum Prime Civic,"Ein Name, der auf 'Prime Civic' im Sphärenraum hinweist."
Sphere Space Enduring Manifests,Sphärenraum Dauerhafte Manifests,"Ein Name, der auf 'Dauerhafte Manifests' im Sphärenraum hinweist."
Sphere Space Horizons Alliance,Sphärenraum Horizons Allianz,"Ein Name, der auf 'Horizons Allianz' im Sphärenraum hinweist."
Sphere Space Balanced Metropolises,Sphärenraum Ausgeglichene Metropolen,"Ein Name, der auf 'Ausgeglichene Metropolen' im Sphärenraum hinweist."
Sphere Space Civics Program,Sphärenraum Civics -Programm,"Ein Name, der auf 'Civics -Programm' im Sphärenraum hinweist."
Sphere Space Civic Park,Sphärenraum Bürgerpark,"Ein Name, der auf 'Bürgerpark' im Sphärenraum hinweist."
Sphere Space Enduring Quays,Sphärenraum Dauerhafte Kais,"Ein Name, der auf 'Dauerhafte Kais' im Sphärenraum hinweist."
Sphere Space Green Grids,Sphärenraum Grüne Netze,"Ein Name, der auf 'Grüne Netze' im Sphärenraum hinweist."
Sphere Space Orbital Avenue,Sphärenraum Orbital Avenue,"Ein Name, der auf 'Orbital Avenue' im Sphärenraum hinweist."
Sphere Space Frontiers Alliance,Sphärenraum Frontiers Alliance,"Ein Name, der auf 'Frontiers Alliance' im Sphärenraum hinweist."
Sphere Space Galleries Network,Sphärenraum Galeries Network,"Ein Name, der auf 'Galeries Network' im Sphärenraum hinweist."
Sphere Space Public Signal,Sphärenraum Öffentliches Signal,"Ein Name, der auf 'Öffentliches Signal' im Sphärenraum hinweist."
Sphere Space Civil Rings,Sphärenraum Zivilringe,"Ein Name, der auf 'Zivilringe' im Sphärenraum hinweist."
Sphere Space Balanced Enterprise,Sphärenraum Ausgeglichenes Unternehmen,"Ein Name, der auf 'Ausgeglichenes Unternehmen' im Sphärenraum hinweist."
Sphere Space Timeless World,Sphärenraum Zeitlose Welt,"Ein Name, der auf 'Zeitlose Welt' im Sphärenraum hinweist."
Sphere Space Enduring Beacon,Sphärenraum Dauerhaftes Leuchtfeuer,"Ein Name, der auf 'Dauerhaftes Leuchtfeuer' im Sphärenraum hinweist."
Sphere Space Stellar Sancta,Sphärenraum Sternsante,"Ein Name, der auf 'Sternsante' im Sphärenraum hinweist."
Sphere Space Pure Arboretum,Sphärenraum Reines Arboretum,"Ein Name, der auf 'Reines Arboretum' im Sphärenraum hinweist."
Sphere Space Havens,Sphärenraum Häfen,"Ein Name, der auf 'Häfen' im Sphärenraum hinweist."
Sphere Space Universal Havens,Sphärenraum Universelle Häfen,"Ein Name, der auf 'Universelle Häfen' im Sphärenraum hinweist."
Sphere Space Golden Jetty,Sphärenraum Goldener Steg,"Ein Name, der auf 'Goldener Steg' im Sphärenraum hinweist."
Sphere Space Alliances Alliance,Sphärenraum Allianzen Allianz,"Ein Name, der auf 'Allianzen Allianz' im Sphärenraum hinweist."
Sphere Space Solar Project,Sphärenraum Solarprojekt,"Ein Name, der auf 'Solarprojekt' im Sphärenraum hinweist."
Sphere Space Calm Foundations,Sphärenraum Ruhige Grundlagen,"Ein Name, der auf 'Ruhige Grundlagen' im Sphärenraum hinweist."
Sphere Space Common Node,Sphärenraum Gemeinsamer Knoten,"Ein Name, der auf 'Gemeinsamer Knoten' im Sphärenraum hinweist."
Sphere Space Safe Workshop,Sphärenraum Sichere Workshop,"Ein Name, der auf 'Sichere Workshop' im Sphärenraum hinweist."
Sphere Space Perennial Stations,Sphärenraum Mehrjährige Stationen,"Ein Name, der auf 'Mehrjährige Stationen' im Sphärenraum hinweist."
Sphere Space Blue Gardens,Sphärenraum Blaue Gärten,"Ein Name, der auf 'Blaue Gärten' im Sphärenraum hinweist."
Sphere Space Humane Blueprint,Sphärenraum Humaner Blaupause,"Ein Name, der auf 'Humaner Blaupause' im Sphärenraum hinweist."
Sphere Space New Theater,Sphärenraum Neues Theater,"Ein Name, der auf 'Neues Theater' im Sphärenraum hinweist."
Sphere Space Timeless Library,Sphärenraum Zeitlose Bibliothek,"Ein Name, der auf 'Zeitlose Bibliothek' im Sphärenraum hinweist."
Sphere Space Villages Commons,Sphärenraum Dörfer Commons,"Ein Name, der auf 'Dörfer Commons' im Sphärenraum hinweist."
Sphere Space Prime Shipyards,Sphärenraum Prime Shipyards,"Ein Name, der auf 'Prime Shipyards' im Sphärenraum hinweist."
Sphere Space Future Corridor,Sphärenraum Zukünftiger Korridor,"Ein Name, der auf 'Zukünftiger Korridor' im Sphärenraum hinweist."
Sphere Space Eternal Node,Sphärenraum Ewiger Knoten,"Ein Name, der auf 'Ewiger Knoten' im Sphärenraum hinweist."
Sphere Space Steady Harbours,Sphärenraum Stetige Häfen,"Ein Name, der auf 'Stetige Häfen' im Sphärenraum hinweist."
Sphere Space Mesh Foundation,Sphärenraum Mesh Foundation,"Ein Name, der auf 'Mesh Foundation' im Sphärenraum hinweist."
Sphere Space Balanced Renewal,Sphärenraum Ausgewogene Erneuerung,"Ein Name, der auf 'Ausgewogene Erneuerung' im Sphärenraum hinweist."
Sphere Space Passages Initiative,Sphärenraum Passagen -Initiative,"Ein Name, der auf 'Passagen -Initiative' im Sphärenraum hinweist."
Sphere Space Universal Galleries,Sphärenraum Universalgalerien,"Ein Name, der auf 'Universalgalerien' im Sphärenraum hinweist."
Sphere Space Bright Revival,Sphärenraum Helle Wiederbelebung,"Ein Name, der auf 'Helle Wiederbelebung' im Sphärenraum hinweist."
Sphere Space Alliances Program,Sphärenraum Allianzen Programm,"Ein Name, der auf 'Allianzen Programm' im Sphärenraum hinweist."
Sphere Space Network Trust,Sphärenraum Netzwerkvertrauen,"Ein Name, der auf 'Netzwerkvertrauen' im Sphärenraum hinweist."
Sphere Space Balanced Biospheres,Sphärenraum Ausgeglichene Biosphären,"Ein Name, der auf 'Ausgeglichene Biosphären' im Sphärenraum hinweist."
Sphere Space Timeless Anchorpoint,Sphärenraum Zeitloser Anchorpoint,"Ein Name, der auf 'Zeitloser Anchorpoint' im Sphärenraum hinweist."
Sphere Space Future Arcade,Sphärenraum Zukünftige Arkade,"Ein Name, der auf 'Zukünftige Arkade' im Sphärenraum hinweist."
Sphere Space Timeless Colonies,Sphärenraum Zeitlose Kolonien,"Ein Name, der auf 'Zeitlose Kolonien' im Sphärenraum hinweist."
Sphere Space Public Shipyards,Sphärenraum Öffentliche Werften,"Ein Name, der auf 'Öffentliche Werften' im Sphärenraum hinweist."
Sphere Space Earthborn Anchor,Sphärenraum Erdengeborener Anker,"Ein Name, der auf 'Erdengeborener Anker' im Sphärenraum hinweist."
Sphere Space Balanced Markets,Sphärenraum Ausgeglichene Märkte,"Ein Name, der auf 'Ausgeglichene Märkte' im Sphärenraum hinweist."
Sphere Space Galleries,Sphärenraum Galerien,"Ein Name, der auf 'Galerien' im Sphärenraum hinweist."
Sphere Space Orbital Lighthouses,Sphärenraum Orbital -Leuchttürme,"Ein Name, der auf 'Orbital -Leuchttürme' im Sphärenraum hinweist."
Sphere Space United Arcade,Sphärenraum United Arcade,"Ein Name, der auf 'United Arcade' im Sphärenraum hinweist."
Sphere Space Human Hospitals,Sphärenraum Menschliche Krankenhäuser,"Ein Name, der auf 'Menschliche Krankenhäuser' im Sphärenraum hinweist."
Sphere Space Global Courts,Sphärenraum Globale Gerichte,"Ein Name, der auf 'Globale Gerichte' im Sphärenraum hinweist."
Sphere Space Observatory Initiative,Sphärenraum Observatoriumsinitiative,"Ein Name, der auf 'Observatoriumsinitiative' im Sphärenraum hinweist."
Sphere Space Public Garden,Sphärenraum Öffentlicher Garten,"Ein Name, der auf 'Öffentlicher Garten' im Sphärenraum hinweist."
Sphere Space Calm Hospital,Sphärenraum Ruhiges Krankenhaus,"Ein Name, der auf 'Ruhiges Krankenhaus' im Sphärenraum hinweist."
Sphere Space Pioneer Boulevards,Sphärenraum Pioneer Boulevards,"Ein Name, der auf 'Pioneer Boulevards' im Sphärenraum hinweist."
Sphere Space Frontier Unions,Sphärenraum Grenzgewerkschaften,"Ein Name, der auf 'Grenzgewerkschaften' im Sphärenraum hinweist."
Sphere Space Public Agora,Sphärenraum Öffentliche Agora,"Ein Name, der auf 'Öffentliche Agora' im Sphärenraum hinweist."
Sphere Space Quiet Forum,Sphärenraum Ruhiges Forum,"Ein Name, der auf 'Ruhiges Forum' im Sphärenraum hinweist."
Sphere Space Pioneer Odysseys,Sphärenraum Pionier -Odysseys,"Ein Name, der auf 'Pionier -Odysseys' im Sphärenraum hinweist."
Sphere Space Resilient Terrace,Sphärenraum Widerstandsfähige Terrasse,"Ein Name, der auf 'Widerstandsfähige Terrasse' im Sphärenraum hinweist."
Sphere Space Stellar Arboreta,Sphärenraum Sternarboreta,"Ein Name, der auf 'Sternarboreta' im Sphärenraum hinweist."
Sphere Space Balanced Libraries,Sphärenraum Ausgeglichene Bibliotheken,"Ein Name, der auf 'Ausgeglichene Bibliotheken' im Sphärenraum hinweist."
Sphere Space Civic Gateways,Sphärenraum Bürgertore,"Ein Name, der auf 'Bürgertore' im Sphärenraum hinweist."
Sphere Space Calm Agoras,Sphärenraum Beruhige Agoras,"Ein Name, der auf 'Beruhige Agoras' im Sphärenraum hinweist."
Sphere Space Earth Harborline,Sphärenraum Erde Harborline,"Ein Name, der auf 'Erde Harborline' im Sphärenraum hinweist."
Sphere Space Basecamps Alliance,Sphärenraum Basecamps Alliance,"Ein Name, der auf 'Basecamps Alliance' im Sphärenraum hinweist."
Sphere Space Interorbital Concourses,Sphärenraum Interorbitale Concours,"Ein Name, der auf 'Interorbitale Concours' im Sphärenraum hinweist."
Sphere Space Resilient Harborfronts,Sphärenraum Widerstandsfähige Hafenfront,"Ein Name, der auf 'Widerstandsfähige Hafenfront' im Sphärenraum hinweist."
Sphere Space Balanced Protocols,Sphärenraum Ausgeglichene Protokolle,"Ein Name, der auf 'Ausgeglichene Protokolle' im Sphärenraum hinweist."
Sphere Space Universal Sanctum,Sphärenraum Universelles Heiligtum,"Ein Name, der auf 'Universelles Heiligtum' im Sphärenraum hinweist."
Sphere Space Nodes Trust,Sphärenraum Knoten vertrauen,"Ein Name, der auf 'Knoten vertrauen' im Sphärenraum hinweist."
Sphere Space Pure Harborfronts,Sphärenraum Reine Hafenfront,"Ein Name, der auf 'Reine Hafenfront' im Sphärenraum hinweist."
Sphere Space Lighthouse Network,Sphärenraum Leuchtturmnetzwerk,"Ein Name, der auf 'Leuchtturmnetzwerk' im Sphärenraum hinweist."
Sphere Space Calm Array,Sphärenraum Ruhige Array,"Ein Name, der auf 'Ruhige Array' im Sphärenraum hinweist."
Sphere Space Lasting Hospitals,Sphärenraum Dauerhafte Krankenhäuser,"Ein Name, der auf 'Dauerhafte Krankenhäuser' im Sphärenraum hinweist."
Sphere Space Enduring Factories,Sphärenraum Dauerhafte Fabriken,"Ein Name, der auf 'Dauerhafte Fabriken' im Sphärenraum hinweist."
Sphere Space Terran Habitats,Sphärenraum Terranische Lebensräume,"Ein Name, der auf 'Terranische Lebensräume' im Sphärenraum hinweist."
Sphere Space Solar Basecamps,Sphärenraum Solar -Basiscamps,"Ein Name, der auf 'Solar -Basiscamps' im Sphärenraum hinweist."
Sphere Space Solar Institute,Sphärenraum Solarinstitut,"Ein Name, der auf 'Solarinstitut' im Sphärenraum hinweist."
Sphere Space Human Seafronts,Sphärenraum Menschliche Küsten,"Ein Name, der auf 'Menschliche Küsten' im Sphärenraum hinweist."
Sphere Space Safe Grids,Sphärenraum Sichere Netze,"Ein Name, der auf 'Sichere Netze' im Sphärenraum hinweist."
Sphere Space Anchorpoint Initiative,Sphärenraum Anchorpoint -Initiative,"Ein Name, der auf 'Anchorpoint -Initiative' im Sphärenraum hinweist."
Sphere Space Terran Council,Sphärenraum Terraner Rat,"Ein Name, der auf 'Terraner Rat' im Sphärenraum hinweist."
Sphere Space Enduring Arch,Sphärenraum Dauerhafter Bogen,"Ein Name, der auf 'Dauerhafter Bogen' im Sphärenraum hinweist."
Sphere Space Institutes Program,Sphärenraum Institutes Programm,"Ein Name, der auf 'Institutes Programm' im Sphärenraum hinweist."
Sphere Space Earthborn Ventures,Sphärenraum Earthborn Ventures,"Ein Name, der auf 'Earthborn Ventures' im Sphärenraum hinweist."
Sphere Space True Belts,Sphärenraum Wahre Gürtel,"Ein Name, der auf 'Wahre Gürtel' im Sphärenraum hinweist."
Sphere Space Perennial Market,Sphärenraum Mehrjähriger Markt,"Ein Name, der auf 'Mehrjähriger Markt' im Sphärenraum hinweist."
Sphere Space Humane Anchorpoints,Sphärenraum Humane Anchorpoints,"Ein Name, der auf 'Humane Anchorpoints' im Sphärenraum hinweist."
Sphere Space Prime Green,Sphärenraum Prime Green,"Ein Name, der auf 'Prime Green' im Sphärenraum hinweist."
Sphere Space Orbital Laboratory,Sphärenraum Orbitallabor,"Ein Name, der auf 'Orbitallabor' im Sphärenraum hinweist."
Sphere Space Lasting Frontiers,Sphärenraum Dauerhafte Grenzen,"Ein Name, der auf 'Dauerhafte Grenzen' im Sphärenraum hinweist."
Sphere Space Stellar Foundations,Sphärenraum Herausragende Grundlagen,"Ein Name, der auf 'Herausragende Grundlagen' im Sphärenraum hinweist."
Sphere Space Anchorpoints Council,Sphärenraum Anchorpoints Council,"Ein Name, der auf 'Anchorpoints Council' im Sphärenraum hinweist."
Sphere Space Bright Sun,Sphärenraum Helle Sonne,"Ein Name, der auf 'Helle Sonne' im Sphärenraum hinweist."
